StationName,StationID,Long,Lat,Elevation
BEN,19245.0,50.74,32.54,2228.0
BIDEH,19563.0,51.686907,30.934418,2307.0
BIJAR,40748.0,47.62111111,35.88694444,1883.0
BILEHSOWAR,99202.0,48.31916667,39.365,101.4
BIRJAND,40809.0,59.2831,32.8906,1491.0
BIYARJOMAND,40742.0,55.8053,36.0856,1099.3
BLAVETAREH,19123.0,46.8,33.68,929.0
BOJNOORD,18166.0,57.32,37.47,1101.0
BOJNURD,40723.0,57.30333333,37.48722222,1065.0
BOLDAJI,19418.0,51.15,31.86,2247.0
BOLDAJI,99523.0,51.06,31.93,2432.0
BONAB,99239.0,46.05166667,37.37027778,1281.0
BORAZJAN,19753.0,51.2167,29.2667,65.0
BORAZJAN,99600.0,51.16666667,29.25,89.9
BORAZJAN  UNIVERSITY AGRICULTUIRE,19779.0,51.14,29.13,92.0
BORDEKHOON,19880.0,51.45,28.03,12.0
BORDEKHOON,19892.0,51.4833,28.8333,28.0
BOROUJERD (PADEGAN),19070.0,48.6333,33.9,1931.0
BORUJEN,99459.0,51.29888889,31.97888889,2260.0
BORUJERD,40774.0,48.7575,33.915,1629.0
BORZOL ABAD,18203.0,57.92,37.38,1187.0
BOSHRUYEH,99407.0,57.43333333,33.86666667,879.0
BOSTAN,40810.0,48.01,31.70777778,7.8
BOSTANABAD,99248.0,46.84388889,37.85194444,1736.0
BOYIN-MIYANDASHT,19208.0,50.1667,33.0833,2412.0
BOYIN-ZAHRA,18685.0,50.0667,35.7667,1282.0
BUINZAHRA,99327.0,50.06722222,35.77361111,1282.0
BUKAN,99332.0,46.23166667,36.52666667,1386.1
BUSHEHR (AIRPORT),40858.0,50.8192,28.9631,6.0
BUSHEHR (COASTAL),40857.0,50.82111111,28.90388889,5.0
CHADEGAN,99452.0,50.6497,32.75,2175.0
CHADEGAN-FARIDAN,19258.0,50.6167,32.7667,2156.0
CHAHBAHAR,40898.0,60.6506,25.2806,8.0
CHAHKOOTAH (TASBIT E SHEN),19799.0,51.09,29.03,30.0
CHALDORAN,99209.0,44.40666667,39.06027778,1888.5
CHAMESTAN,18430.0,52.02,36.48,73.0
CHANDAB PAKDASHT,18801.0,51.9331,35.4167,1177.0
CHAROYMAQ,99283.0,46.9667,37.1331,1302.0
CHAVARZAGH,18285.0,48.78,36.99,481.0
CHDOORMALU,19344.0,55.52,32.31,1374.0
CHEHEL-DOKHTAR,18357.0,55.3,36.7333,1520.0
CHESHME BONAB,19622.0,53.24,30.27,1929.0
CHESHMEH-ZIARATGAH,19740.0,60.4833,29.45,1795.0
CHESKIN,18700.0,49.8667,35.75,1323.0
CHITGAR,99320.0,51.16666667,35.73333333,1305.0
CHUPANAN,99473.0,54.37833333,33.61111111,896.3
CICHALDIZIN,18592.0,51.43,36.03,3328.0
DAHAGHAN,18162.0,51.64,31.93,2060.0
DAMANEH-FARIDAN,19225.0,50.4833,33.0167,2300.0
DAMAVAND,99369.0,52.052512,35.715778,2051.0
DAMGHAN,18530.0,54.3167,36.2167,1170.0
DAMGHAN,40761.0,54.32277778,36.14944444,1155.4
DANDI,18409.0,47.62,36.55,1584.0
DANESHGA ZANJAN,99312.0,48.39,36.68,1579.0
DANESHGAH AZAD,19011.0,47.02,34.28,1485.0
DANESHGAH BAHONAR,19632.0,57.12,30.23,1770.0
DANESHGAH SHAHID CHAMRAN,19514.0,48.6667,31.3333,20.0
DANESHGAH ZANJAN,18365.0,48.4,36.68,1579.0
DANESHGAHBUALI,18920.0,48.48,34.8,1834.0
DANESHGAHE MOLASANY,19456.0,48.8667,31.6,30.0
DANESHGAHKORDESTAN,18842.0,47.0,35.27,0.0
DANESHGAH_NAZLU_ORUMIYE,99256.0,44.96,37.65,1363.0
DANESHKADEHKESHAVARZEI SARI,18371.0,53.00666667,36.65,-15.0
DARAN,40787.0,50.36666667,32.96666667,2290.0
DAREGAZ,40807.0,59.06666667,37.46666667,514.0
DARGAZIN-HAMEDAN,18817.0,49.0667,35.35,1840.0
DARGIR,19931.0,56.3333,27.3,92.0
DARMIAN,99442.0,60.02,32.92,1500.0
DARREHSHAHR,40842.0,47.4075,33.13722222,670.0
DARYACHE NAMAK,19607.0,48.1,30.43,4.0
DASHT,18224.0,56.0,37.31,1008.0
DASHT GOLESTAN(KALPOUSH),18222.0,56.0167,37.2831,1000.0
DASHT KHAK,19554.0,56.55,31.07,2300.0
DASHTE NAMDAN,19577.0,52.52,30.84,2375.0
DASTGERD-SHAHROOD,18570.0,56.1,36.1333,985.0
DASTJERD,18958.0,50.21,34.57,1895.0
DAYHOOK,19185.0,57.51,33.28,1338.0
DEABAL KHAZAEE,19551.0,48.58,31.13,7.0
DEHAGH,19205.0,50.97,33.08,1960.0
DEHAGH,99484.0,50.97555556,33.0975,1946.7
DEHCHENAR,19564.0,56.9,31.4,1660.0
DEHDASHT,40838.0,50.58638889,30.78833333,793.3
DEHDEZ,99527.0,50.28138889,31.70833333,1457.0
DEHGOLAN,18833.0,47.42,35.28,1815.0
DEHKHODA,,48.88,28.17,18.0
DEHLORAN,40796.0,47.28111111,32.68055556,232.0
DEHNOW FATHOLMOBIN,19859.0,57.7,28.33,555.0
DEHRAM(DEJGAH),19894.0,52.309506,28.489478,411.0
DEHSALAM,99536.0,59.3167,31.1997,815.0
DEHSEYF ZIYARATGAH,19602.0,57.82,30.57,353.0
DELGAN,40885.0,59.45,27.48333333,391.0
DELIJAN,99461.0,50.68611111,33.97722222,1524.3
DEYLAMAN,99302.0,49.91,36.88583333,1447.6
DEZFUL (AIRPORT),40795.0,48.3831,32.3994,143.0
DOAB SAMSAMI,19350.0,50.29,32.17,2064.0
DOGONBADAN,40835.0,50.81916667,30.34611111,726.0
DOLATABAD,19254.0,51.7,32.81,1560.0
DOODAHAK(ABBASABAD-GHOM),19023.0,50.5667,34.1494,1400.0
DOROH,19263.0,60.5,32.3,1169.0
DORUD,99444.0,49.00444444,33.52361111,1522.3
DORUDZAN,40844.0,52.42138889,30.20611111,1642.0
DORZ AND SAYEBAN LAR,19905.0,55.42,27.86,706.0
DOWSHAN TAPPEH,40753.0,51.4756,35.7017,1209.2
DOZAJ,18804.0,49.58,35.32,2065.0
DRYLAND AGRICULTURAL RESEARCH INSTITUTE,18226.0,46.45,37.28,1725.0
EIVANAKY,99405.0,52.07,35.33,1060.0
EIVANEKEY,18821.0,52.06666667,35.33333333,835.0
EKBATAN-HAMEDAN,18905.0,48.55,34.8667,1730.0
EKHTIAR ABAD KAHNOJ,19897.0,57.7,27.9667,485.0
EMAM GHAES,19439.0,51.3,31.73,2285.0
EMAM KHOMEINI (AIRPORT),18799.0,51.1,35.45,1006.0
EMAMZADEH JAFAR,99565.0,50.98472222,30.30111111,668.0
EQLID,40828.0,52.63333333,30.9,2300.0
ERANDEGAN,19921.0,61.03,27.66,1282.0
ESFAHAN,40800.0,51.7063,32.5172,1551.9
ESFAHAN (AIRPORT),40802.0,51.86305556,32.74416667,1550.0
ESFANDABAD,19567.0,53.43,30.93,1463.0
ESFARAYEN,99287.0,57.48333333,37.05,1216.0
ESHGH ABAD,19003.0,56.9308333,34.35,774.0
ESHTEHARD,18712.0,50.37,35.72,1191.0
ESLAMABAD-E-GHARB,40779.0,46.46666667,34.11666667,1349.0
ESMAEELABAD,18275.0,57.14,37.05,1000.0
ESMAEILABAD_EGHBALIE,99355.0,49.8994,36.25,1249.0
ESMAELABAD,18514.0,49.9,36.25,1249.0
ESTAHBAN,99607.0,54.04861111,29.14055556,1690.0
EVOGHLI,18036.0,45.22,38.72,963.0
EYVAN,99433.0,46.36,33.76305556,1170.0
EZGLEH,18908.0,45.83,34.82,699.0
FADAK,18969.0,50.99,34.5,941.0
FAHRAJ,19805.0,58.88,28.95,649.0
FAMENIN,99387.0,48.98333333,35.11666667,1637.0
FARABI,,48.6,30.9833,7.0
FARAHAN-SUPPLEMENTARY SYNOPTIC,99424.0,49.6925,34.49666667,1784.0
FARASHBAND,40864.0,52.1,28.8,782.0
FARGHAN,19893.0,56.26,28.01,1172.0
FARID PAK,99238.0,53.9,37.32,-20.0
FARIM MOHAMADABAD,18560.0,53.27,36.02,720.0
FARIMAN,18708.0,59.8667,35.7333,1400.0
FARIMAN,40825.0,59.83333333,35.65,1472.0
FAROKHSHAHR,19360.0,50.9333,32.3,2073.0
FAROKHSHAHR,99509.0,50.93055556,32.2975,2085.0
FAROUJ,99266.0,58.2267,37.2206,1196.0
FARSAN,19374.0,50.5833,32.25,2250.0
FARSAN,99512.0,50.55527778,32.25527778,2062.0
FARYAB,19888.0,57.22,28.08,640.0
FASA,40859.0,53.71944444,28.89944444,1268.0
FASHALEM,18229.0,49.42,37.26,-10.0
FATH ABAD FERDOWS,19041.0,58.39,33.84,1821.0
FATHABAD-FERDOUS,19040.0,58.3833,34.1167,1840.0
FERDOWS,40792.0,58.18416667,34.03055556,1292.0
FEREIDUNSHAHR,99489.0,50.12722222,32.94,2490.0
FEYZ ABAD RAVAR,19520.0,56.48,31.33,2062.0
FEYZABAD,18889.0,58.7,34.93,960.0
FILEH KHASEH,18269.0,48.04,37.07,1325.0
FIROUZABAD-FARS,19821.0,52.55,28.8167,1318.0
FIRUZABAD (ARDEBIL),99263.0,48.23555556,37.58888889,1175.7
FIRUZABAD (FARS),99630.0,52.555,28.88444444,1362.0
FIRUZKUH,40756.0,52.73333333,35.75,1975.6
FIRUZKUH (GAW),99370.0,52.5867,35.7025,2986.0
FONUJ,19980.0,59.65,26.57,734.0
FOOMAN,18235.0,49.32,37.23,27.0
FORG,99601.0,55.2,28.3397,891.0
FOROMAD,18424.0,56.68,36.52,1120.0
FULAD MAHALEH,18588.0,53.6961,36.0622,1850.0
GAHVAREH,19000.0,46.42,34.33,1520.0
GALUGAH,99299.0,53.83694444,36.73777778,-10.0
GANDOMAN,19404.0,51.16,31.87,2247.0
GANJAVAN,19109.0,45.9667,33.75,760.0
GARAGHE-CHAH ALLAH DAD,19641.0,60.22,29.88,1123.0
GARDANEASADABAD,18916.0,48.18,34.83,2250.0
GARIZ,19522.0,54.1,31.3,2100.0
GARIZ,40816.0,54.09722222,31.31055556,2100.0
GARMAB,18644.0,48.2,35.85,1639.0
GARMAB,99335.0,48.21083333,35.84944444,1632.0
GARMSAR,40758.0,52.36027778,35.24305556,899.9
GENO,19926.0,56.17,27.4,1616.0
GERASH,19915.0,54.13,27.7,907.0
GERMI,40714.0,48.05722222,39.05,749.0
GHAHAVAND,99388.0,49.0,34.85,1645.0
GHALEE GANJ,19922.0,57.87,27.52,400.0
GHALEHNOKHARGHAN,18378.0,55.07,36.63,1490.0
GHAMLOO,18867.0,47.48,35.18,1910.0
GHAPAN,18134.0,55.7,37.37,339.0
GHARAKHIL,40737.0,52.77166667,36.45416667,14.7
GHAREH BOTEH,18270.0,47.77,37.05,1148.0
GHAREH CHARIAN,18295.0,48.34944444,36.94111111,1844.0
GHARQABAD,99412.0,49.825,35.10694444,1590.0
GHASR-SHIRIN,18962.0,45.5833,34.5167,300.0
GHASREGHAND,19992.0,60.73,26.22,500.0
GHATROYEH,19794.0,54.7,29.1331,1578.0
GHESHLAGH(FIRVARAGH),18041.0,44.85,38.57,1296.0
GHIR VA KARZIN,19866.0,53.0333,28.4667,767.0
GHOHORD,18788.0,48.07,35.47,1933.0
GHOUSHCHI(PADEGAN),18104.0,45.033,37.9,1380.0
GIFAN,18105.0,57.49,37.9,1399.0
GILANEGHARB,99454.0,45.93333333,34.13333333,816.3
GILVAN,18333.0,49.1,36.8,301.0
GOHARKOUH,19875.0,60.5667,28.3833,1358.0
GOL TAPPE,99380.0,48.18,35.22,2120.0
GOLBAF,19680.0,57.73,29.85,1665.0
GOLBAF,99583.0,57.73333333,29.85,1665.0
GOLMAKAN,40744.0,59.28333333,36.48333333,1176.0
GOLPAYEGAN,99417.0,50.28333333,33.46666667,1870.0
GOLTAPPEH,18480.0,46.68,36.37,1360.0
GOMISHAN,18262.0,54.0667,37.0833,-27.0
GONABAD,40778.0,58.68333333,34.35,1056.0
GONBAD-E-KAVUS,99240.0,55.2128,37.2669,37.2
GORGAN,40738.0,54.4131,36.905,0.0
GORGAN (HASHEMABAD),99241.0,54.26666667,36.85,13.3
GORGIN-KHOBR,19828.0,56.2167,28.8333,1825.0
GOTVAND,99513.0,48.80888889,32.22305556,70.0
GOUVAVER,19053.0,46.33,34.02,1476.0
HADISHAHR,18035.0,45.68,38.83,1055.0
HAFDAR,18756.0,53.1167,35.6167,1682.0
HAFT TAPEH,19395.0,48.4,32.08,63.0
HAJI MAMDAN,18611.0,46.35,35.95,1826.0
HAJIABAD (HORMOZGAN),40863.0,55.91055556,28.31194444,931.2
HAJIABAD (SOUTH KHORASAN),99402.0,59.91666667,33.63333333,1447.0
HALAB,18496.0,48.07,36.3,1482.0
HALASHI,19044.0,47.08,34.1,1485.0
HAMEDAN (AIRPORT),40768.0,48.53472222,34.86944444,1740.8
HAMEDAN (NOZHEH),40767.0,48.6903,35.1953,1679.7
HAMGIN,19420.0,51.47,31.9,2151.0
HAMIDIYEH,19492.0,48.3167,31.1333,100.0
HAMON,19574.0,61.45,30.85,473.0
HAMZAVI HANA,19543.0,51.7,31.15,2274.0
HARAT,99574.0,54.38361111,30.02222222,1633.0
HARSIN,99431.0,47.55,34.26666667,1546.0
HASANABAD (DARAB),40862.0,54.29611111,28.79111111,1107.0
HASHTGERD,99396.0,50.74694444,36.00666667,1612.9
HASHTROOD,18152.0,47.05,37.48,1735.0
HEIDARLOOSEIR(OROOMIEH),18155.0,45.033,37.483,1449.0
HENDIJAN,99537.0,49.70638889,30.24944444,3.0
HERIS,99228.0,47.13333333,38.23333333,1950.0
HEYRAN,18052.0,48.60389,38.4025,25.0
HEZARKANIAN,18681.0,46.8,35.7667,1894.0
HEZARKANIYAN,99382.0,46.8,35.75,1934.0
HIRMAND,19546.0,61.78,31.13,483.0
HOMAND( ABSARD),18738.0,52.83,35.65,1960.0
HOMIL,19068.0,46.77,33.92,1320.0
HONARESTAN SANANDAJ,18825.0,47.0,35.3333,1462.0
HORAND,18038.0,47.38,38.86,1175.0
HORMOZ,19953.0,56.45,27.0833,25.0
HOSEYNIYEH,99493.0,48.25388889,32.66972222,354.0
HOSSEINAN,18859.0,54.57,35.23,948.0
ILAM,40780.0,46.39777778,33.58777778,1337.0
ILBAGI ( POLE ZAMANKHAN),99503.0,50.88,32.48,1883.0
IMAM KHOMEINI AIRPORT,40777.0,51.16666667,35.41666667,990.2
IMAN ABAD,19164.0,48.6,33.4,0.0
IMANABAD,99485.0,48.36666667,33.4,1500.0
INCHEHBORUN,99271.0,54.71666667,37.45,7.0
IRANSHAHR,40879.0,60.71833333,27.22944444,591.1
IZAD SHAHR,99308.0,52.09,36.35,-26.0
IZADKHAST,99516.0,52.12888889,31.53,2188.0
IZEH,99455.0,49.85444444,31.8475,767.0
JABALBAREZ,19816.0,57.88,28.9,1900.0
JAFAR ABAD,18928.0,50.5167,34.7667,1029.0
JAFARIEH,18934.0,50.5,34.76,
JAHROM,99646.0,53.53444444,28.48416667,1082.0
JAHROM (AIRPORT),88184.0,53.5917,28.5856,1031.0
JAJARM,99295.0,56.33333333,36.95,984.0
JAM,88187.0,52.35583333,27.815,659.0
JAMKARAN,18956.0,50.91,34.58,
JANGAL ARASSBARAN,18051.0,46.75,38.42,1100.0
JANGALBANI- BADROUD NATANZ,19118.0,52.0,33.7,1056.0
JANGALBANI-ZAVAREH-ARDESTAN,19139.0,52.483,33.45,976.0
JASK,40893.0,57.76972222,25.63777778,5.2
JAVANRUD,99427.0,46.5,34.76666667,1375.0
JIRANDEH,40805.0,49.80166667,36.70805556,1581.4
JIRKEL,18572.0,50.2341667,36.89,498.0
JIROFT,99550.0,57.76666667,28.7,722.0
JIROFT (MIANDEH),40866.0,57.81666667,28.58333333,639.0
JIROFT(AIRPORT),88180.0,57.67166667,28.72972222,775.0
JOGHATAY,99324.0,57.06666667,36.63333333,1335.0
JOGHTAY,18399.0,57.0333,36.6,1373.0
JOLFA,18031.0,45.6333,38.9333,704.0
JOLFA,40702.0,45.6,38.9333,736.2
JOONABAD,19809.0,60.97,28.95,1725.0
KABUTARABAD,40803.0,51.83333333,32.51666667,1542.5
KAHAK,99440.0,50.8689,34.4033,1403.1
KAHNUJ,40877.0,57.71333333,27.99416667,499.0
KAHRIZ,18106.0,44.983,37.883,1325.0
KAHRIZ,99246.0,44.95,37.86666667,1336.0
KAJOR,18477.0,51.7333,36.3833,1600.0
KAKHAK,19026.0,58.65,34.15,1860.0
KALALEH,18206.0,55.4831,37.3667,157.0
KALALEH (AIRPORT),88113.0,55.45944444,37.385,128.8
KALAT-E-NADER,99289.0,59.7597,36.9797,890.0
KALATEH MAZINAN,18501.0,56.77,36.28,760.0
KALIBAR,40711.0,47.01666667,38.86666667,1180.0
KAMYARAN,18924.0,46.8667,34.7667,1450.0
KAMYARAN,99425.0,46.93333333,34.8,1404.0
KANGAVAR,40771.0,47.98333333,34.5,1468.0
KARAFS,18811.0,49.3,35.37,1975.0
KARAJ,40752.0,50.95388889,35.80694444,1292.9
KARAJ (AGRICULTURAL),99373.0,50.9378,35.7803,1261.1
KARKANDEH,18339.0,54.03,36.77,10.0
KARKHANE-GHAND,19278.0,51.7833,32.6667,1610.0
KAROON,19389.0,48.72,32.08,59.0
KARVANDAR,19908.0,61.03,27.95,1540.0
KASHAN,40785.0,51.48083333,33.96694444,955.0
KASHMAR,40763.0,58.47333333,35.27111111,1109.7
KAVIR,18873.0,52.0333,35.1667,792.0
KAVIR SIYAHKOOH(CHAH AFZAL),19302.0,53.85,32.5167,1036.0
KAZERUN,40861.0,51.65138889,29.60027778,840.0
KELARDASHT,18410.0,51.157,36.55,1200.0
KEREND GHARB,19018.0,46.23,34.28,1530.0
KERMAN,40841.0,56.9619,30.2556,1754.0
KERMANSHAH,18994.0,47.12,34.35,1328.0
KERMANSHAH,40766.0,47.15333333,34.35222222,1318.5
KESHT SANAT EMAM KHOMEYNI,19432.0,48.77,31.8,29.0
KHABAR,19830.0,56.33,28.82,1180.0
KHAF,40837.0,60.15,34.58333333,998.0
KHAFR,99612.0,53.0794,29.0,1332.0
KHALAT POUSHAN,18079.0,46.45,38.05,1567.0
KHALKHAL,40717.0,48.53805556,37.60888889,1797.4
KHANSAR,99482.0,50.31666667,33.23333333,2300.0
KHARAMEH,19739.0,53.297778,29.502222,1051.0
KHARK ISLAND,40845.0,50.31527778,29.26555556,4.3
KHASH,40870.0,61.185,28.22694444,1427.0
KHEIRABAD,99334.0,48.75944444,36.53083333,1767.0
KHEIRABAD-ZANJAN,18417.0,48.78,36.52,1760.0
KHESHT,19726.0,51.33,29.56,493.0
KHEZRABAD,19426.0,53.96,31.88,1637.0
KHIR_KHAJEH_SOFLA,18116.0,54.88,37.73,55.0
KHODAAFARIN(TATAR),18026.0,46.83,39.02,400.0
KHODABANDEH,40733.0,48.58916667,36.14388889,1887.0
KHOJA_*,18068.0,46.5831,38.1494,1615.0
KHOMEYN,99443.0,50.06916667,33.62388889,1834.6
KHOMEYNI SHAHR BASHAGERD,19978.0,58.3833,26.6167,95.0
KHONDAB,18988.0,49.2,34.4,1742.0
KHONDAB,99439.0,49.18388889,34.41111111,1739.0
KHONJ,99638.0,53.4189,27.8731,674.0
KHONSAR,19193.0,50.3167,33.2333,2300.0
KHORAMABAD,18172.0,45.08,37.43,1410.0
KHORAMABAD-TONKABON,18344.0,50.9,36.75,50.0
KHORAMABAD-TONKABON,18524.0,50.9,36.233,2263.0
KHORMOOJ,19851.0,51.3833,28.65,71.0
KHORRAMABAD,40782.0,48.28361111,33.43888889,1147.8
KHORRAMDAREH,40730.0,49.21083333,36.19583333,1575.0
KHOSBIJAN,19037.0,49.37,34.12,1830.0
KHOSF,19261.0,58.88,32.73,1321.0
KHOSHKEHDARAN,18331.0,50.86666667,36.8,2.0
KHOSHKROOD,18806.0,50.3331,35.3831,1400.0
KHOSROSHAH,99244.0,46.0331,37.9667,1338.0
KHOSROWSHAHR-TABRIZ,18094.0,46.0333,37.9667,1357.0
